1,"Forest Laboratories, Inc.",949-381-3584,tgantley0@comsenz.com
2,"BioActive Nutritional, Inc.",940-251-8738,ldunthorn1@nature.com
3,"Taro Pharmaceuticals U.S.A., Inc.",339-242-6761,scheyney2@imageshack.us
4,"Dispensing Solutions, Inc.",944-637-8227,soblein3@etsy.com
5,"Fenwal, Inc.",188-373-8572,spilger4@liveinternet.ru
6,Aidarex Pharmaceuticals LLC,575-516-3695,jalmey5@tamu.edu
7,"Akorn, Inc.",688-687-7632,iscading6@cafepress.com
8,McKesson Contract Packaging,383-790-1748,mvasler7@taobao.com
9,Rite Aid Corporation,818-478-1272,loultram8@miibeian.gov.cn
10,Goodier Cosmetics LP,447-652-5470,cberndt9@php.net
12,"NCS HealthCare of KY, Inc dba Vangard Labs",562-657-4325,lsmallpeaceb@last.fm
13,"Greenbrier International, Inc.",250-844-4400,bsongestc@wunderground.com
15,"Premier Value (Chain Drug Consortium, LLC)",502-356-7712,tuzellie@patch.com
16,Reckitt Benckiser LLC,729-426-4769,hdaxf@nhs.uk
17,Topco Associates LLC,951-187-0223,dwalklettg@gnu.org
18,Macleods Pharmaceuticals Limited,275-771-7623,bhenriqueh@skyrock.com
19,REMEDYREPACK INC.,369-120-8386,ldymidowiczi@mapquest.com
20,"Physicians Total Care, Inc.",943-735-2795,ldedomenicij@google.nl
21,CVS Pharmacy,598-433-3314,hmacgraghk@discovery.com
22,"Nelco Laboratories, Inc.",479-661-6421,bleninl@bbc.co.uk
23,"Wyeth BioPharma Division of Wyeth Pharmaceuticals Inc., a subsidiary of Pfizer Inc.",473-956-5622,cfirksm@psu.edu
24,Lantern Enterprises Ltd.,939-718-6104,hrubroen@opensource.org
25,BluePoint Laboratories,742-793-8736,lguyo@flickr.com
27,Mylan Pharmaceuticals Inc.,856-304-0611,rlorrymanq@ustream.tv
28,Rebel Distributors Corp,804-247-3154,bboter@fema.gov
29,"Prime Packaging, Inc.",849-504-2422,mwroes@go.com
30,Uriel Pharmacy Inc.,118-613-1143,pcrakert@jimdo.com
31,AMERISOURCEBERGEN DRUG CORPORATION,619-138-3987,hsketu@chicagotribune.com
32,Kroger Company,660-435-5827,lgobournv@is.gd
33,Cardinal Health,919-263-5881,bnorthcliffew@independent.co.uk
34,"Roxane Laboratories, Inc",681-229-8844,somullaneyx@theatlantic.com
35,"Deb USA, Inc.",173-938-6153,cgrayshany@buzzfeed.com
36,Guardian Drug Company,592-570-0434,kmanskez@infoseek.co.jp
37,"TONYMOLY CO., LTD.",664-286-6911,tbazire10@mashable.com
38,"ALK-Abello, Inc.",951-378-5660,mmoggle11@desdev.cn
39,"NDC, Inc.",767-427-0428,arobard12@marketwatch.com
40,"Genentech, Inc.",187-991-2619,jpriestman13@chicagotribune.com
41,The Mentholatum Company,410-868-6067,dbeau14@weebly.com
42,"Paddock Laboratories, Inc.",544-818-6123,dterbeek15@plala.or.jp
43,Procter & Gamble Manufacturing Company,108-753-0180,jdavidovici16@shutterfly.com
44,A-S Medication Solutions LLC,482-242-5226,gmacandreis17@admin.ch
45,LEO Pharma Inc.,103-335-6535,ndahlborg18@nature.com
46,Procter & Gamble Manufacturing Co.,570-963-8975,kkienlein19@usda.gov
47,"GRIFOLS USA, LLC",717-523-1734,qbloschke1a@nationalgeographic.com
48,Cantrell Drug Company,698-446-6142,wedger1b@cdc.gov
49,King Bio Inc.,367-350-4116,mdechelle1c@networkadvertising.org
50,Costco Wholesale Company,214-112-4074,akrysiak1d@qq.com
